TenantId,AccountDomain,AccountName,AccountSid,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,FailureReason,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,IsLocalAdmin,LogonId,LogonType,MachineGroup,Protocol,RemoteDeviceName,RemoteIP,RemoteIPType,RemotePort,ReportId,"Timestamp [UTC]","TimeGenerated [UTC]","InitiatingProcessParentCreationTime [UTC]","InitiatingProcessCreationTime [UTC]",InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,SourceSystem,Type
"60c7f53e-249a-4077-b68e-55a4ae877d7c",linuxremediation,root,,LogonSuccess,"{""Terminal"":""ssh"",""PosixUserId"":0,""PosixPrimaryGroupName"":""root"",""PosixPrimaryGroupId"":0,""PosixSecondaryGroups"":""[]"",""InitiatingAccountName"":""root"",""InitiatingAccountDomain"":""linuxremediation"",""InitiatingAccountPosixUserId"":0,""InitiatingAccountPosixGroupName"":""root"",""InitiatingAccountPosixGroupId"":0}",,421b2a139d2b397bed84ec9ac1aab7842c1fc15e,"linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",,linuxremediation,root,,,,"/usr/sbin/sshd -D -R",sshd,"/usr/sbin/sshd",9788,,0791594624a28b7d696db038a8b14525,sshd,9788,5bfb9e80c2de5c862f1bf484d1e24024ec66d663,afe2db673f80d3db25f3219f27c49684f0c4f2da84bcd3459f0a0022626bde0a,None,,9788,Network,,,,"23.160.56.113",Public,,5454,"4/8/2025, 4:24:08.745 AM","4/8/2025, 4:24:08.745 AM","4/8/2025, 4:24:07.210 AM","4/8/2025, 4:24:07.221 AM",917192,,,,,,,,false,,,,DeviceLogonEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c","linux-vulnscan-allen",root,,LogonSuccess,"{""Terminal"":""ssh"",""PosixUserId"":0,""PosixPrimaryGroupName"":""root"",""PosixPrimaryGroupId"":0,""PosixSecondaryGroups"":""[]"",""InitiatingAccountName"":""root"",""InitiatingAccountDomain"":""Linux-VulnScan-Allen"",""InitiatingAccountPosixUserId"":0,""InitiatingAccountPosixGroupName"":""root"",""InitiatingAccountPosixGroupId"":0}",,0023468f90434eb6df95b67ea4a57b7775944685,"linux-vulnscan-allen.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",,"linux-vulnscan-allen",root,,,,"/usr/sbin/sshd -D -R",sshd,"/usr/sbin/sshd",101734,,0791594624a28b7d696db038a8b14525,sshd,101734,5bfb9e80c2de5c862f1bf484d1e24024ec66d663,afe2db673f80d3db25f3219f27c49684f0c4f2da84bcd3459f0a0022626bde0a,None,,101734,Network,,,,"23.160.56.113",Public,,246,"4/5/2025, 4:23:56.409 PM","4/5/2025, 4:23:56.409 PM","4/5/2025, 4:23:55.100 PM","4/5/2025, 4:23:55.102 PM",917192,,,,,,,,false,,,,DeviceLogonEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c","linux-programmatic-fix-wa",root,,LogonSuccess,"{""Terminal"":""ssh"",""PosixUserId"":0,""PosixPrimaryGroupName"":""root"",""PosixPrimaryGroupId"":0,""PosixSecondaryGroups"":""[]"",""InitiatingAccountName"":""root"",""InitiatingAccountDomain"":""linux-programmatic-fix-WA"",""InitiatingAccountPosixUserId"":0,""InitiatingAccountPosixGroupName"":""root"",""InitiatingAccountPosixGroupId"":0}",,bbe6c52f0fba6199ffa2ab7bf5fbda982b10b906,"linux-programmatic-fix-wa.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",,"linux-programmatic-fix-wa",root,,,,"/usr/sbin/sshd -D -R",sshd,"/usr/sbin/sshd",64755,,0791594624a28b7d696db038a8b14525,sshd,64755,5bfb9e80c2de5c862f1bf484d1e24024ec66d663,afe2db673f80d3db25f3219f27c49684f0c4f2da84bcd3459f0a0022626bde0a,None,,64755,Network,,,,"23.160.56.113",Public,,7065,"3/30/2025, 4:24:03.787 AM","3/30/2025, 4:24:03.787 AM","3/30/2025, 4:24:02.330 AM","3/30/2025, 4:24:02.335 AM",917192,,,,,,,,false,,,,DeviceLogonEvents
